Name,Type,Page,Page Number,Schematic,PartPin,LocationX,LocationY,Zone,IREF
"PA6","OffPage","OFFPAGE","3","SCHEMATIC1","","206","206","4C","P[2,12]"
"ADC1_IN6","OffPage","TERMINAL","12","SCHEMATIC1","J24.3","312","326","4C","P[2]"
"ADC1_IN6","OffPage","OFFPAGE","3","SCHEMATIC1","","238","206","4C","P[2,12]"
"RS485_B-","OffPage","RS485","9","SCHEMATIC1","F3.2","834","348","1C","P[12]"
"RS485_B-","OffPage","TERMINAL","12","SCHEMATIC1","J28.1","558","336","3C","P[9]"
"ADC1_IN14","OffPage","TERMINAL","12","SCHEMATIC1","J24.2","312","336","4C","P[2]"
"ADC1_IN14","OffPage","OFFPAGE","3","SCHEMATIC1","","238","224","4C","P[2,12]"
"PC4","OffPage","MCU","2","SCHEMATIC1","U34.24","112","458","5B","P[12]"
"PC4","OffPage","OFFPAGE","3","SCHEMATIC1","","206","224","4C","P[2,12]"
"ADC1_IN15","OffPage","TERMINAL","12","SCHEMATIC1","J24.1","312","346","4C","P[2]"
"ADC1_IN15","OffPage","OFFPAGE","3","SCHEMATIC1","","238","242","4C","P[2,12]"
"PC5","OffPage","MCU","2","SCHEMATIC1","U34.25","112","468","5B","P[12]"
"PC5","OffPage","OFFPAGE","3","SCHEMATIC1","","206","242","4C","P[2,12]"
"VCAP","OffPage","MCU","2","SCHEMATIC1","C155.2,U34.30","312","528","4B","P[2]"
"VCAP","OffPage","MCU","2","SCHEMATIC1","C155.2,U34.30","512","244","3C","P[2]"
"RS485_A+","OffPage","RS485","9","SCHEMATIC1","F2.2","828","188","1C","P[12]"
"RS485_A+","OffPage","TERMINAL","12","SCHEMATIC1","J28.3","558","316","3C","P[9]"
"VDD","OffPage","MCU","2","SCHEMATIC1","J31.04,R233.2,U34.1,U34.19,U34.32,U34.48,U34.64","312","78","4D","P[2]"
"VDD","OffPage","MCU","2","SCHEMATIC1","J31.04,R233.2,U34.1,U34.19,U34.32,U34.48,U34.64","504","188","3C","P[2]"
"VDD","OffPage","MCU","2","SCHEMATIC1","J31.04,R233.2,U34.1,U34.19,U34.32,U34.48,U34.64","312","88","4D","P[2]"
"VDD","OffPage","MCU","2","SCHEMATIC1","J31.04,R233.2,U34.1,U34.19,U34.32,U34.48,U34.64","312","118","4D","P[2]"
"VDD","OffPage","MCU","2","SCHEMATIC1","J31.04,R233.2,U34.1,U34.19,U34.32,U34.48,U34.64","312","98","4D","P[2]"
"VDD","OffPage","MCU","2","SCHEMATIC1","J31.04,R233.2,U34.1,U34.19,U34.32,U34.48,U34.64","312","68","4D","P[2]"
"N_GPIO_Output_2","OffPage","OUTPUT","5","SCHEMATIC1","D37.2,Q4.2,R58.1","782","400","1B","P[12]"
"N_GPIO_Output_2","OffPage","TERMINAL","12","SCHEMATIC1","J23.6","312","160","4D","P[5]"
"N_GPIO_Output_1","OffPage","OUTPUT","5","SCHEMATIC1","D36.2,Q3.2,R53.1","772","214","1C","P[12]"
"N_GPIO_Output_1","OffPage","TERMINAL","12","SCHEMATIC1","J23.5","312","170","4C","P[5]"
"N_GPIO_Output_3","OffPage","OUTPUT2","6","SCHEMATIC1","D109.2,Q6.2,R242.1","780","214","1C","P[12]"
"N_GPIO_Output_3","OffPage","TERMINAL","12","SCHEMATIC1","J23.7","312","150","4D","P[6]"
"N_GPIO_Output_4","OffPage","OUTPUT2","6","SCHEMATIC1","D111.2,Q7.2,R247.1","790","400","1B","P[12]"
"N_GPIO_Output_4","OffPage","TERMINAL","12","SCHEMATIC1","J23.8","312","140","4D","P[6]"
"SCL_DS3231","OffPage","RTC","10","SCHEMATIC1","R168.1,U13.16","504","36","3D","P[2,10]"
"SCL_DS3231","OffPage","RTC","10","SCHEMATIC1","R168.1,U13.16","288","260","4C","P[2,10]"
"I2C2_SCL","OffPage","RTC","10","SCHEMATIC1","R168.1,U13.16","526","36","3D","P[2]"
"I2C2_SCL","OffPage","OFFPAGE","3","SCHEMATIC1","","604","140","2D","P[2,10]"
"PB10","OffPage","MCU","2","SCHEMATIC1","U34.29","112","358","5B","P[10]"
"PB10","OffPage","OFFPAGE","3","SCHEMATIC1","","584","140","2D","P[2,10]"
"SDA_DS3231","OffPage","RTC","10","SCHEMATIC1","R169.1,U13.15","626","302","2C","P[2,10]"
